ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
3273,29,9,2024,76,L,706,5,13,30000
8490,16,12,2022,25,P,313,7,4,10000
4049,19,6,2023,77,L,519,15,12,30000
1391,28,6,2022,30,L,764,8,1,20000
3012,21,10,2024,25,L,680,7,3,40000
2525,21,6,2023,78,P,926,12,2,20000
4861,13,4,2022,59,L,542,7,1,30000
8168,1,7,2024,68,L,480,10,3,30000
3586,9,4,2022,75,L,748,19,8,20000
6960,19,10,2024,25,L,433,8,3,40000
9139,31,3,2024,67,L,144,12,2,20000
8854,7,9,2023,63,P,419,16,2,30000
2843,26,8,2024,50,P,907,9,12,10000
7555,7,3,2023,68,P,449,13,12,50000
9847,20,10,2024,56,L,267,1,13,10000
8777,24,3,2024,65,L,178,3,7,50000
2740,9,10,2022,24,L,347,5,9,30000
9418,31,5,2022,26,P,111,6,10,50000
1097,5,8,2023,58,P,996,12,8,30000
9724,16,7,2022,45,P,354,1,13,30000
9983,24,11,2023,55,P,48,10,12,30000
9340,14,12,2022,56,P,143,12,10,40000
9736,22,1,2024,69,L,846,17,13,20000
8980,30,12,2022,37,L,30,18,3,10000
1771,17,1,2023,30,P,794,5,7,20000
3683,19,5,2023,59,L,277,1,14,20000
9852,30,2,2023,35,P,454,7,1,20000
2421,3,9,2023,49,L,947,18,9,20000
5573,10,7,2023,57,L,216,10,13,50000
4589,6,4,2024,33,L,987,20,3,50000
7906,3,2,2023,76,L,848,13,12,20000
9788,5,9,2023,77,L,345,20,4,10000
1153,28,5,2022,50,L,569,18,11,10000
485,20,10,2024,70,L,639,20,6,40000
7420,9,8,2022,68,P,376,7,14,20000
3110,2,4,2022,22,P,376,3,4,10000
4436,17,8,2024,73,P,481,13,8,30000
1607,14,5,2024,46,P,944,9,12,50000
4004,30,8,2022,38,P,959,19,10,40000
3823,3,10,2024,43,L,332,13,2,30000
8506,19,3,2023,49,L,180,6,6,30000
5102,11,6,2023,23,L,53,2,1,40000
3869,16,4,2023,67,P,422,11,14,20000
284,17,11,2024,40,P,500,10,1,50000
3621,31,2,2022,26,P,617,6,7,40000
9254,29,4,2022,48,P,21,2,14,20000
513,1,3,2024,25,P,502,11,11,20000
9841,23,5,2022,65,P,926,1,1,20000
3187,16,10,2024,40,L,426,4,10,40000
9390,16,5,2023,72,L,506,5,8,10000
9476,11,2,2023,57,L,806,5,6,10000
3827,29,9,2024,45,L,620,2,12,10000
5056,24,7,2022,76,P,948,20,10,40000
8443,1,4,2022,26,L,469,14,14,50000
576,11,11,2023,70,L,63,6,7,30000
4055,4,4,2023,75,P,989,11,11,10000
9346,28,11,2024,35,P,73,20,12,30000
7354,15,12,2022,30,L,247,20,5,50000
7684,29,8,2023,37,P,801,7,6,20000
6342,3,1,2022,46,P,276,10,7,20000
6790,22,3,2022,28,P,511,16,7,10000
8797,1,6,2024,69,L,575,18,10,40000
3936,4,11,2022,31,P,480,3,13,40000
7071,6,3,2023,26,P,90,8,8,40000
7370,10,7,2024,38,L,778,18,8,50000
8829,7,11,2023,22,L,427,12,1,20000
1306,6,11,2022,60,P,730,14,14,10000
1343,15,8,2022,41,L,690,1,12,30000
3845,24,12,2024,73,L,248,14,12,20000
7127,28,5,2023,50,L,631,9,8,20000
1396,11,7,2024,38,L,77,14,5,50000
3681,7,1,2022,27,L,685,12,8,50000
3515,30,8,2022,70,P,380,18,6,20000
9399,13,5,2024,73,P,902,13,7,30000
8567,18,3,2024,71,L,697,19,8,40000
2378,16,4,2022,27,P,342,2,13,20000
4020,19,5,2022,37,P,734,1,1,50000
2190,21,5,2024,26,L,576,2,1,10000
6919,19,10,2024,28,P,463,18,3,20000
2382,30,8,2024,73,P,811,9,12,50000
8658,21,3,2024,22,P,132,13,11,50000
5290,6,5,2023,42,P,171,20,9,30000
4606,7,4,2022,22,L,878,10,7,40000
8016,9,4,2024,27,P,701,7,2,30000
